Date,Open,High,Low,Close,Volume
2022-01-03,17071.79,17255.2,16931.38,17089.41,4419493
2022-01-04,17026.42,17204.71,16855.37,17033.16,2356778
2022-01-05,17149.77,17247.26,17095.23,17192.21,3297682
2022-01-06,17255.3,17364.75,17180.45,17284.28,5132293
2022-01-07,17070.84,17097.9,16886.66,17060.79,3541037
2022-01-10,17045.86,17105.76,16937.56,17021.79,6032371
2022-01-11,17439.97,17557.19,17258.47,17387.98,6854501
2022-01-12,17513.53,17593.55,17375.17,17468.14,4602352
2022-01-13,17190.8,17270.25,17113.82,17176.11,3531817
2022-01-14,17415.35,17523.2,17244.07,17423.58,4015074
2022-01-17,17154.79,17175.3,16938.38,17140.78,7715175
2022-01-18,17169.43,17225.72,17067.91,17140.05,6720058
2022-01-19,17379.05,17566.38,17316.11,17418.94,5962931
2022-01-20,16928.11,17136.15,16852.52,16937.27,6540334
2022-01-21,17152.15,17296.48,17055.32,17117.26,3802502
2022-01-24,17320.84,17371.68,17264.08,17332.93,3462538
2022-01-25,17168.53,17349.66,17120.1,17161.13,7745980
2022-01-26,17457.41,17619.77,17332.35,17448.22,4026819
2022-01-27,17258.62,17460.87,17168.32,17291.35,4074520
2022-01-28,17203.12,17330.65,17079.94,17217.36,7209995
2022-01-31,17559.54,17682.1,17393.08,17576.99,4432665
2022-02-01,17202.75,17338.56,17143.56,17251.8,5934053
2022-02-02,17287.82,17383.38,17177.3,17337.32,7864075
2022-02-03,17142.98,17182.2,17061.25,17108.93,7152682
2022-02-04,17330.2,17431.33,17246.79,17353.83,2732722
2022-02-07,17496.73,17614.51,17388.61,17494.83,7080692
2022-02-08,17146.31,17329.69,17021.96,17167.04,3791396
2022-02-09,17571.54,17643.29,17324.01,17525.2,7669463
2022-02-10,17399.18,17469.27,17220.78,17424.34,3200847
2022-02-11,17519.79,17730.12,17391.06,17527.19,3034104
2022-02-14,17586.96,17748.24,17351.98,17547.71,4450700
2022-02-15,18058.68,18199.26,17914.81,18021.71,5875416
2022-02-16,17648.12,17892.06,17625.01,17681.42,7038460
2022-02-17,17486.22,17584.47,17399.18,17454.53,6018293
